x,y,z
0.4621,0.276,0.2527
0.5227,0.2684,0.8187
0.5467,-0.199,-0.2721
0.5595,0.3701,-0.6225
0.5131,-0.7175,-0.3843
0.6237,0.4077,0.3688
0.4184,0.3072,0.3259
0.4277,0.2714,0.3145
0.1646,0.2127,-0.3888
0.5677,0.3553,0.9696
0.4847,0.3021,0.5728
0.5826,0.3323,0.2657
0.7047,0.3111,0.0619
0.5041,0.2878,-0.346
0.6078,0.323,-0.6331
0.5279,0.2777,-0.3717
0.5943,0.383,0.3495
0.5664,0.3198,0.3218
0.569,0.3383,-0.4947
0.5205,0.3648,0.2854
0.6438,0.3341,0.2991
0.6596,-0.6643,0.2774
0.5684,-0.6984,-0.3987
0.557,0.3265,0.333
0.5559,0.3111,-0.4124
0.552,0.3088,0.0819
0.5328,0.3262,0.2822
0.5301,0.3577,0.275
0.5258,0.308,0.6667
0.5696,-0.6453,0.3453
0.7058,-0.6619,-0.4452
0.5599,-0.6371,0.2639
0.5766,-0.2133,-0.2322
0.6785,0.3534,0.289
0.5503,0.3292,0.2902
0.6146,0.3371,-0.0714
0.6178,0.3288,0.4265
0.538,0.2774,-0.4412
0.4959,0.2733,0.0203
0.5452,-0.6991,-0.2744
0.5849,0.2872,-0.4423
0.6044,0.3001,0.2725
0.5105,0.3331,0.255
0.5235,0.5965,-0.4093
0.5422,0.2964,0.2793
0.5392,-0.7385,0.3003
0.5035,0.3239,0.2465
0.5362,0.2679,0.6021
0.6038,-0.6858,-0.3402
0.6298,0.3918,-0.1856
0.5035,0.2504,0.2677
0.6282,0.3657,0.2347
0.4212,0.3751,-0.1568
0.5629,0.2621,0.3094
0.6778,0.4616,0.2646
0.5095,0.292,0.2883
0.5582,0.2856,0.4504
0.1372,0.1129,0.3819
0.1163,0.2211,0.2087
0.114,0.1447,0.3141
0.1897,0.2053,0.0707
0.1651,0.0979,0.1222
0.1051,0.1192,-0.009
0.1961,0.1529,0.282
0.0804,0.1631,0.2907
0.1546,0.2016,-0.46
0.0477,0.1274,0.2499
0.1114,0.1884,0.287
0.1619,0.1661,0.2504
0.0651,0.1733,0.3049
0.2046,0.1471,0.2208
0.1214,0.187,0.3429
0.1471,0.164,0.3037
0.1055,0.1373,0.3174
0.175,0.1306,0.3105
0.1301,0.1509,0.3585
0.2134,0.2564,0.3976
0.0446,0.194,-0.4437
0.1389,0.2484,0.8811
-0.0002,0.1082,0.2939
0.2059,0.122,0.2616
0.0806,0.1432,0.284
0.1255,0.1209,0.2416
0.1182,0.2018,0.3148
0.2612,0.163,0.148
0.1839,0.119,-0.5895
0.197,0.1887,0.2807
0.0811,0.1397,0.3525
0.2275,0.1671,0.2575
0.1962,0.1407,0.3776
0.1385,0.1966,0.3763
0.1611,0.1337,0.0663
0.1733,0.1695,0.2967
0.2733,0.0876,0.4031
0.184,0.1492,0.303
0.1246,0.1532,0.2635
0.2357,0.2067,0.0329
0.1579,0.1661,0.0128
0.1768,0.1439,-0.0122
0.1719,0.1739,0.3745
0.1817,0.1827,0.344
0.0957,0.1946,0.2815
0.1219,0.1533,0.2903
0.0732,0.1551,0.3138
0.1691,0.2425,0.2887
0.2475,0.1627,0.3062
0.284,0.0887,0.2914
0.1396,0.1083,0.1888
0.1005,0.1907,0.1695
0.2426,0.1173,0.3501
0.1281,0.137,0.2031
0.1981,0.1306,0.271
0.1538,0.2435,0.4319
0.0201,0.133,0.3599
0.1191,0.1275,0.3064
0.1919,0.1654,0.8728
0.1597,0.1332,0.2531
0.2066,0.1592,0.3066
0.0987,0.1632,0.7122
0.0954,0.152,0.1486
0.1959,0.1746,0.3062
0.2343,0.1291,0.3117
0.1339,0.1283,0.1366
0.1958,0.1522,0.3511
0.1918,0.1099,0.2662
0.3248,0.2366,-0.2901
0.1927,0.2116,0.3519
0.0372,0.155,0.2746
0.0421,0.2595,0.8364
0.2302,0.0995,0.3356
0.1235,0.1786,0.2047
0.1631,0.1241,0.2088
0.2645,0.3784,-0.7013
0.1545,0.1247,0.1941
0.1948,0.1896,0.3046
0.18,0.1048,0.0223
0.1955,0.1025,0.2165
